grp,sp,Aud,Reach1+,Reach3+,Reach5+,Reach7+,Reach9+,Reach12+,Reach15+,year,new_reg,after_1m,after_2m,after_3m,after_4m,after_5m,after_6m,Month_01월,Month_02월,Month_03월,Month_04월,Month_05월,Month_06월,Month_07월,Month_08월,Month_09월,Month_10월,Month_11월,Month_12월,ad_id_남20대,ad_id_남30대,ad_id_남40대,ad_id_남50대,ad_id_남60대,ad_id_여20대,ad_id_여30대,ad_id_여40대,ad_id_여50대,ad_id_여60대,log_0,log_1,log_2,log_3,log_4,log_5,log_6,ZSCORE
71,1180,1193605,19.6,5.9,3.6,1.8,1.5,1.1,1.1,2020.0,4.0,1.0,1.0,2.0,2.0,0.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.6094379124341005,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.0986122886681098,0.0,1.0986122886681098,-0.11030337370719354
89,1180,1671602,25.0,9.1,5.0,3.1,2.3,2.3,1.5,2020.0,11.0,11.0,7.0,12.0,8.0,32.0,6.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.4849066497880004,2.4849066497880004,2.079441541679836,2.5649493574615367,2.19722457733622,3.49650756146648,1.9459101490553128,0.10180867266315388
126,1180,2606389,39.1,12.7,4.9,2.4,2.3,1.8,1.4,2020.0,30.0,32.0,14.0,26.0,28.0,48.0,26.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.4339872044851463,3.49650756146648,2.7080502011022096,3.2958368660043287,3.3672958299864737,3.8918202981106265,3.2958368660043287,0.537816767979979
200,1180,4070888,40.3,18.0,11.2,7.1,4.5,3.1,2.8,2020.0,27.0,35.0,10.0,28.0,30.0,40.0,16.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.332204510175204,3.58351893845611,2.3978952727983707,3.3672958299864737,3.4339872044851463,3.7135720667043084,2.8332133440562166,1.4098329586136296
119,1180,3104849,29.9,11.4,6.5,5.0,4.2,2.7,1.0,2020.0,8.0,11.0,5.0,30.0,14.0,38.0,14.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.19722457733622,2.4849066497880004,1.791759469228055,3.4339872044851463,2.7080502011022096,3.6635616461296463,2.7080502011022096,0.4553287499470662
84,1180,1476043,13.9,4.8,2.2,1.9,1.9,1.9,1.8,2020.0,4.0,4.0,4.0,12.0,4.0,14.0,6.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.6094379124341005,1.6094379124341005,1.6094379124341005,2.5649493574615367,1.6094379124341005,2.7080502011022096,1.9459101490553128,0.042888659782501816
72,1180,1382889,18.2,6.3,4.3,1.7,1.3,1.3,1.3,2020.0,26.0,32.0,10.0,28.0,34.0,40.0,18.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3.2958368660043287,3.49650756146648,2.3978952727983707,3.3672958299864737,3.555348061489413,3.7135720667043084,2.9444389791664403,-0.09851937113106313
132,1180,2785060,34.8,10.7,8.2,6.0,4.7,3.2,1.7,2020.0,34.0,46.0,10.0,18.0,49.0,55.0,53.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.555348061489413,3.8501476017100575,2.3978952727983707,2.9444389791664403,3.912023005428147,4.02535169073515,3.9889840465642745,0.6085207834367615
228,1180,4609550,39.4,17.3,13.6,10.3,8.4,6.6,4.1,2020.0,46.0,62.0,21.0,64.0,62.0,84.0,42.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.8501476017100575,4.143134726391533,3.0910424533583165,4.174387269895637,4.143134726391533,4.442651256490317,3.7612001156935615,1.739785030745281
227,1180,4958330,35.0,16.2,12.3,9.4,8.3,5.4,3.8,2020.0,26.0,36.0,21.0,44.0,40.0,68.0,20.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.2958368660043287,3.610917912644224,3.0910424533583165,3.80666248977032,3.7135720667043084,4.23410650459726,3.0445224377234235,1.7280010281691505
0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,0.0,-0.9469675566124528
0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,0.0,-0.9469675566124528
2,16,49420,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,-0.923399551460192
1,16,29986,0.9,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,0.0,-0.9351835540363224
0,16,11582,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0986122886681098,1.6094379124341005,1.6094379124341005,-0.9469675566124528
0,16,14094,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,0.6931471805599453,-0.9469675566124528
1,16,20882,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.6094379124341005,1.0986122886681098,0.0,-0.9351835540363224
